"GEO_ID","NAME","P003001","P003002","P003003","P003004","P003005","P003006","P003007","P003008"
"id","Geographic Area Name","Total","Total!!White alone","Total!!Black or African American alone","Total!!American Indian and Alaska Native alone","Total!!Asian alone","Total!!Native Hawaiian and Other Pacific Islander alone","Total!!Some Other Race alone","Total!!Two or More Races"
"1600000US0459550","Red Mesa CDP, Arizona","480","44","2","408","7","0","11","8"
"1600000US0459760","Red Rock CDP (Apache County), Arizona","169","2","0","163","0","0","0","4"
"1600000US0459770","Red Rock CDP (Pinal County), Arizona","2169","1757","42","35","22","1","186","126"
"1600000US0459900","Rillito CDP, Arizona","97","27","37","2","0","0","26","5"
"1600000US0460120","Rincon Valley CDP, Arizona","5139","4671","77","17","80","2","161","131"
"1600000US0460180","Rio Rico CDP, Arizona","18962","13472","75","121","94","10","4846","344"
"1600000US0461300","Roosevelt CDP, Arizona","28","27","0","0","1","0","0","0"
"1600000US0460250","Rio Verde CDP, Arizona","1811","1796","3","1","7","0","0","4"
"1600000US0460770","Rock House CDP, Arizona","50","48","0","1","0","0","0","1"
"1600000US0460880","Rock Point CDP, Arizona","642","5","0","624","5","0","2","6"
"1600000US0461370","Rough Rock CDP, Arizona","414","9","1","396","1","0","2","5"
"1600000US0461440","Round Rock CDP, Arizona","789","1","0","775","0","0","0","13"
"1600000US0461448","Round Valley CDP, Arizona","487","459","0","3","0","0","7","18"
"1600000US0461690","Rye CDP, Arizona","77","73","0","0","0","0","2","2"
"1600000US0461715","Sacate Village CDP, Arizona","169","3","0","163","0","0","3","0"
"1600000US0461720","Sacaton CDP, Arizona","2672","47","2","2508","0","1","14","100"
"1600000US0461800","Sacaton Flats Village CDP, Arizona","541","7","1","517","0","0","0","16"
"1600000US0462140","Sahuarita town, Arizona","25259","20280","742","334","499","31","2309","1064"
"1600000US0461940","Saddlebrooke CDP, Arizona","9614","9211","76","23","84","1","131","88"
"1600000US0462350","St. Johns city, Arizona","3480","2875","5","186","9","1","255","149"
"1600000US0462000","Safford city, Arizona","9566","7789","116","153","85","5","1062","356"
